experiment_id,sample_id,flow_id,repeat_id,status,candidate_accepted,readability_variables,readability_loops,readability_conditions,readability_logic_flow,readability_structure,readability_overall,readability_variables_rationale,readability_loops_rationale,readability_conditions_rationale,readability_logic_flow_rationale,readability_structure_rationale,readability_summary,readability_rubric_version,readability_source_sha256,readability_evaluated_at,readability_correctness_assessed,evaluator_id,evaluation_method,original_sloc,recovered_sloc,sloc_ratio,sloc_method
experiment_20260821_162746,p00001,F1,0,PASS,True,3,4,4,3,3,3.4,"Names arr1, arr2, arr3 reveal little, but scopes stay small and roles partly inferable.",Simple bounded for loops make iteration easy to follow.,Predicates are direct NULL and scanf checks with little boolean noise.,"Mostly linear flow, but allocation-failure branches and arr3 paths make reading uneven.","Conventional C layout with compare and main, but raw byte sizes and generic arrays reduce clarity.","Readable recovered C with clear control constructs, weak naming, allocation-heavy structure.",source-readability-1-to-5-v1,fe657f872f8c24d06988ea81f804a1dba04025186d74936f484865810e405b26,2026-08-21T10:26:32.061184+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,64,47,0.734375,lexical-comment-stripped-nonempty-lines
experiment_20260821_162746,p00001,F2,0,PASS,True,3,5,4,5,4,4.2,"Generic names like sub_4011e0, ptr1, arr2, arr3 obscure roles despite simple scopes.","For loops are conventional, bounded, easy to follow.",Predicates are simple null and scanf checks with little low-level noise.,Control flow is linear with clear early returns and no goto noise.,"Functions are coherent and C-like, though recovered names reduce human readability.","Readable C structure with clear flow, weakened mainly by decompiler-style naming.",source-readability-1-to-5-v1,c577dd33370ef1c66a451ae63ee963f964f7ab4e48ce88e8e338c00de3c39bc9,2026-08-21T10:26:31.513959+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,64,56,0.875,lexical-comment-stripped-nonempty-lines
experiment_20260821_162746,p00001,F3,0,PASS,True,2,4,2,3,2,2.6,"Artifact names like malloc_ret3, native_pointer_phi, native_residual_* obscure roles despite tight scope.","Simple counted for loops make input, copy use, output iteration easy to follow.","Range checks use magic addresses, casts, residual arrays, making predicates low-level.","Mostly linear main flow, but duplicated address-mapping block plus malloc-failure branch reduce clarity.","Single coherent C file, but residual sections, raw sizes, raw casts, untyped allocations feel decompiled.","Readable skeleton visible, decompiler artifacts dominate details.",source-readability-1-to-5-v1,b4863f54e163acbe8fb21baf23c42e57e91eafd4aad29c3101acd17ab01627ce,2026-08-21T10:26:32.853399+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,64,55,0.859375,lexical-comment-stripped-nonempty-lines
experiment_20260821_162746,p00008,B2,0,PASS,True,4,4,4,4,4,4.0,"Names mostly clear; arr generic, count duplicate roles readable.","Nested digit loops simple, regular, easy follow.","Predicates direct, boolean duplicate understandable.","Straight-line main, no goto, minimal branching.","Small struct, single coherent main, conventional C organization.","Readable conventional C; minor generic naming, deep nesting reduce clarity.",source-readability-1-to-5-v1,8e9fe7e72d87f904af18811a819d8037d9eea1860d61bdf640d8561bdb0e5b7b,2026-08-21T10:26:29.138315+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,45,39,0.8666666666666667,lexical-comment-stripped-nonempty-lines
experiment_20260821_162746,p00008,F1,0,PASS,True,4,5,5,5,5,4.8,"Names are simple, scoped tightly, roles clear, though a/b/c/d are terse digit-loop counters.","Nested for loops are regular, bounded, readable; input while loop is clear.","Predicates are direct: scanf termination plus sum equality, no boolean noise.","Straight-line control, no gotos, no dispatch artifacts, easy follow.","Single coherent main, conventional C layout, standard library use, no recovered-code clutter.",Clear conventional C; minor variable terseness only readability issue.,source-readability-1-to-5-v1,ef989021db976e8039966a0e84653c6a3b3f4274e58e5a2247d04dc36bc851eb,2026-08-21T10:26:30.701376+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,45,20,0.4444444444444444,lexical-comment-stripped-nonempty-lines
experiment_20260821_162746,p00008,F2,0,PASS,True,4,5,5,5,5,4.8,"Variables have clear small scopes, though i, j, k, l are generic loop indices.",Nested for loops use simple bounds and obvious iteration state.,Predicate is direct arithmetic comparison with no low-level artifacts.,"Control flow is linear, structured, goto-free.",Single coherent main function with conventional C organization.,Readable conventional C with simple structure and minor generic naming.,source-readability-1-to-5-v1,aeae2857b0ee39fa6faa0448cda0ba9ae5c82c9cf1d94ec4f8351463b0b5419b,2026-08-21T10:26:31.466712+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,45,20,0.4444444444444444,lexical-comment-stripped-nonempty-lines
experiment_20260821_162746,p00008,F3,0,PASS,True,4,5,5,5,5,4.8,"Variables minimal, scoped well; i1-i4 generic but understandable as digit loops.","Loops conventional, bounded, consistently nested.","Predicate simple arithmetic equality, no low-level artifacts.","Control flow linear, no goto, no dispatcher noise.","Single coherent main, standard C organization, clear input-output structure.",Readable conventional C; only generic index names reduce clarity slightly.,source-readability-1-to-5-v1,2b5c4580b565db43fd15ff24f6c6451348e85a4aacb85ba2afb00c8e2ec28bd6,2026-08-21T10:26:29.210081+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,45,20,0.4444444444444444,lexical-comment-stripped-nonempty-lines
experiment_20260821_162746,p00033,B1,0,PASS,True,1,1,1,1,1,1.0,"Names mostly decompiler artifacts like local_dc, DAT_00406034, iVar1, hiding roles.",Deep nested while(true) dispatcher loops obscure iteration intent.,"Predicates dominated by magic constants, bit tests, redundant boolean artifacts.","State-machine dispatch via local_dc, many hex labels, tangled branches make flow very hard to trace.","Functions exist, but organization remains low-level recovered code with incoherent types, globals, temporaries.","Very difficult to read; dominated by decompiler control-flow flattening, meaningless names, low-level artifacts.",source-readability-1-to-5-v1,4d70830b729fa65c15f63c5799a6eaf54ae9a957dc05819d986394e2b742fe24,2026-08-21T10:26:32.307865+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,62,587,9.46774193548387,lexical-comment-stripped-nonempty-lines
experiment_20260821_162746,p00033,F1,0,PASS,True,3,4,4,4,4,3.8,"Names mostly meaningful, but arr, temp, A, B, k, m stay generic.","Nested loops regular, bounded, easy to trace despite depth.","Predicates simple, boolean flags readable, minimal artifact noise.","Straight-line main flow clear, with early exits, continue, break only.","Single coherent C function, conventional includes, no dispatcher or goto noise.","Readable recovered C with clear brute-force structure, generic naming, some temporary-heavy sections.",source-readability-1-to-5-v1,f1a46eb745281114d97954cc829e3fbe4d78769fae5ef12f00690525a83c3ffe,2026-08-21T10:26:34.589716+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,62,71,1.1451612903225807,lexical-comment-stripped-nonempty-lines
experiment_20260821_162746,p00165,B2,0,PASS,True,3,4,4,4,4,3.8,"Core names like limit, count, ans help, but str, arr, x, y, a, b stay vague.","For loops are conventional, bounded, easy to follow.","Predicates are simple scanf checks, bounds checks, sieve marker tests.","Straight-line main with nested loops, early input exits, no goto noise.","Single coherent C program with globals, main, arrays, conventional organization.",Readable accepted C; main weakness vague data names.,source-readability-1-to-5-v1,61080eda58e3c6826988a679ca4b90a4375c3ddf22aa76cdde97d8e5a1090d35,2026-08-21T10:26:33.051845+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,33,32,0.9696969696969697,lexical-comment-stripped-nonempty-lines
